contract,date,roll_flag,daily_close,daily_return,daily_mean_vpin,daily_max_vpin,daily_vpin_slope,daily_vpin_zscore,daily_vpin_percentile,future_return,signal_raw,position,vpin_high_flag,slope_positive_flag
T,2015-08-25,False,95.8,0.00015660072036327577,0.4424102510549153,0.6231827454329619,-0.009265314551913123,-1.4500220132868071,0.08333333333333333,0.002139874739039538,1.0,0.0,False,False
T,2015-08-26,False,96.005,0.002139874739039538,0.45507925323913834,0.5193276131097753,-0.02272711422929578,-1.203223473534657,0.13333333333333333,0.004114369043278998,1.0,1.0,False,False
T,2015-08-27,False,96.4,0.004114369043278998,0.47970193583473014,0.6073201931305898,-0.039594200959301364,-0.7702372412782058,0.23333333333333334,-0.0015041493775934667,1.0,1.0,False,False
T,2015-08-28,False,96.255,-0.0015041493775934667,0.529232650850594,0.6156811184442724,-0.009337905541002334,0.07094575240349774,0.4666666666666667,0.0052464807023013815,1.0,1.0,False,False
T,2015-08-31,False,96.76,0.0052464807023013815,0.5484274062440602,0.6024035001797431,0.028618770798974534,0.3968669601371465,0.6166666666666667,0.0016019016122363894,1.0,1.0,False,True
T,2015-09-01,False,96.915,0.0016019016122363894,0.5255835767454529,0.5681566590288207,0.020973411742195906,-0.0042129094555565915,0.43333333333333335,-0.0030439044523551395,1.0,1.0,False,True
T,2015-09-02,False,96.62,-0.0030439044523551395,0.5865606558844119,0.6429950975653252,0.021006836599422228,1.0476181290356201,0.8666666666666667,-0.0020699648105982904,0.0,1.0,True,True
T,2015-09-07,False,96.42,-0.0020699648105982904,0.493702420782935,0.5326196007208068,-0.0032927210494966275,-0.5185462234993031,0.2833333333333333,-0.00046670815183569303,1.0,0.0,False,False
T,2015-09-08,False,96.375,-0.00046670815183569303,0.6588856734792297,0.695632807556832,0.018903537850782116,2.280414177989225,1.0,-0.001867704280155702,0.0,1.0,True,True
T,2015-09-09,False,96.195,-0.001867704280155702,0.5303270501591824,0.6017892531618454,0.008181196442227678,0.11474717455835423,0.5166666666666667,0.002079110140859708,1.0,0.0,False,True
T,2015-09-10,False,96.395,0.002079110140859708,0.5771207136550411,0.6170931870361758,0.0017744744917505884,0.8938260025297563,0.8166666666666667,-0.0014523574874215628,0.0,1.0,True,True
T,2015-09-11,False,96.255,-0.0014523574874215628,0.46423263008576726,0.5463183662892587,-0.014070454121852405,-1.0035354485258823,0.18333333333333332,0.0016103059581320522,1.0,0.0,False,False
